REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,528.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,628.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,744.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,835.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,795.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,897.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,528.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,628.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,743.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,834.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,558.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,645.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,747.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,841.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,727.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,877.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,992.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1176.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,888.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1105.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1259.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,727.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,877.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,986.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1080.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,888.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1007.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1129.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,754.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,916.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
