REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Row and apartment structures of three units and over,Two bedroom units,v42135545,192.3.3,563.0,Bay Roberts,Newfoundland and Labrador
2012,"Bay Roberts, Newfoundland and Labrador",2011S0504005,Apartment structures of three units and over,Two bedroom units,v42135673,192.1.3,563.0,Bay Roberts,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Bachelor units,v3822895,2.3.1,439.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,One bedroom units,v3823029,2.3.2,521.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Two bedroom units,v3823163,2.3.3,610.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Row and apartment structures of three units and over,Three bedroom units,v3823297,2.3.4,738.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Bachelor units,v3823967,2.1.1,439.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,One bedroom units,v3824101,2.1.2,527.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Two bedroom units,v3824235,2.1.3,610.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of three units and over,Three bedroom units,v3824369,2.1.4,740.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Bachelor units,v3824548,2.4.1,436.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,One bedroom units,v3824736,2.4.2,569.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Two bedroom units,v3824924,2.4.3,621.0,Corner Brook,Newfoundland and Labrador
2012,"Corner Brook, Newfoundland and Labrador",2011S0504015,Apartment structures of six units and over,Three bedroom units,v3825112,2.4.4,744.0,Corner Brook,Newfoundland and Labrador
2012,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,One bedroom units,v3872766,3.3.2,533.0,Gander,Newfoundland and Labrador
2012,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Two bedroom units,v3872794,3.3.3,642.0,Gander,Newfoundland and Labrador
2012,"Gander, Newfoundland and Labrador",2011A00051006009,Row and apartment structures of three units and over,Three bedroom units,v3872822,3.3.4,684.0,Gander,Newfoundland and Labrador
2012,"Gander, Newfoundland and Labrador",2011A00051006009,Row structures of three units and over,Two bedroom units,v3872906,3.2.3,842.0,Gander,Newfoundland and Labrador
